Product;Price
Asus ProArt GeForce RTX 4060 Ti OC 16GB GDDR6X DLSS3;594.94
Palit GeForce RTX 4070 Ti GamingPro OC White 12GB GDDR6X DLSS3;977.95
Asus Dual Radeon RX 560 4GB GDDR5;139.95
INNO3D GeForce RTX 4090 iChill Frostbite 24GB GDDR6X DLSS3;2279.95
Gigabyte GeForce RTX 4060 Ti AERO OC 8GB GDDR6 DLSS3;489.95
Gigabyte GeForce RTX 4070 Ti Windforce OC 12GB GDDR6X DLSS3;912.94
ASRock Radeon RX 6600 Challenger White 8GB GDDR6;249.95
KFA2 GeForce RTX 3060 Ti (1-Click OC) v2 Plus 8GB GDDR6X;399.95
Asus GeForce TUF Gaming RTX 4060 Ti OC 8GB GDDR6 DLSS3;476.95
Palit GeForce RTX 4090 GameRock 24GB GDDR6X DLSS3;1699.95
Asus Dual GeForce RTX 4060 Ti OC Gaming White 8GB GDDR6 DLSS3;480.95
MSI GeForce RTX 4090 Gaming X TRIO 24GB GDDR6X DLSS3;2299.96
Zotac GeForce RTX 4080 Trinity OC 16GB GDDR6X DLSS3;1278.95
Palit GeForce RTX 4060 Ti JetStream 16GB GDDR6 DLSS3;517.95
Gigabyte GeForce RTX 4060 Ti Gaming OC 16GB GDDR6 DLSS3;489.95
INNO3D GeForce RTX 4070 Twin X2 OC White 12GB GDDR6X DLSS3;609.95
Asus TUF Gaming GeForce GTX 1650 4GB GDDR6;195.95
PNY GeForce GTX 1650 Dual Fan 4GB GDDR6;177.95
KFA2 GeForce RTX 2060 (1-Click OC) v2 6GB GDDR6;1210.0
Gigabyte GeForce RTX 4060 EAGLE 8GB OC GDDR6 DLSS3;349.94
Sapphire Pulse Radeon RX 7900 XTX Gaming OC 24GB GDDR6;1199.94
Palit GeForce RTX 3050 StormX 8GB GDDR6;249.95
Gigabyte GeForce RTX 4060 GAMING OC 8GB GDDR6 DLSS3;399.95
KFA2 GeForce RTX 3090 SG (1-Click OC) 24GB GDDR6X - Tarjeta Gráfica;2399.95
KFA2 GeForce RTX 4070 Ti EX Gamer 1-Click OC 12GB GDDR6X DLSS3;899.95
INNO3D GeForce RTX 4060 Ti Twin X2 OC 8GB GDDR6 DLSS3;449.95
Zotac GeForce RTX 4070 Ti AMP AIRO SPIDERMAN 12GB GDDR6X DLSS3;952.95
INNO3D GeForce RTX 3060 TWIN X2 12GB GDDR6 - VGA;342.95
INNO3D GeForce RTX 4090 iChill Frostbite Ultra 24GB GDDR6X;2699.95
MSI GeForce RTX 4070 VENTUS 2X OC 12GB GDDR6X DLSS3;649.95
Asus ROG Strix LC GeForce RTX 4090 OC 24GB GDDR6X DLSS3;2422.95
Zotac GeForce GT 730 Zone Edition 2GB GDDR3;71.95
Zotac Gaming GeForce RTX 3060 Ti Twin Edge OC LHR 8GB GDDR6 - Tarjeta Gráfica;403.95
