Product;Price
MSI Radeon RX 7900 XT Gaming Trio Classic 20GB GDDR6;1312.8
Asus AMD Radeon RX 6600 DUAL 8GB GDDR6;376.82
PNY GeForce RTX 4060 Ti XLR8 Gaming VERTO 16GB GDDR6 DLSS3;567.74
Gigabyte GeForce GTX 1650 D6 WINDFORCE OC 4GB GDDR6;299.99
Asrock AMD Radeon RX 7900 XT Phantom Gaming OC Edition 20GB GDDR6;966.57
Zotac Gaming GeForce RTX 3070 Ti AMP Holo LHR 8GB GDDR6X;1351.24
EVGA GeForce RTX 3090 XC3 ULTRA GAMING 24GB GDDR6X;983.25
HP RTX A4000 16 GB GDDR6;1330.74
MSI GeForce RTX 3070 VENTUS 3X PLUS OC LHR 8 GB GDDR6;810.28
MSI GeForce RTX 3070 VENTUS 3X OC 8GB GDDR6;554.6
Asus TUF Gaming GeForce RTX 3080 Ti 12GB GDDR6X;1767.15
Acer Predator BiFrost Intel ARC A770 OC 16GB GDDR6;531.38
Gigabyte GeForce GTX 1660 Ti OC 6GB;511.01
Zotac Gaming GeForce RTX 3070 Ti Trinity OC LHR 8GB GDDR6X;1111.73
ASUS Dual GeForce RTX 3050 V2 OC Edition 8GB GDDR6;273.99
Zotac Gaming GeForce RTX 4070 Twin Edge 12GB GDDR6X DLSS3;679.0
MSI GeForce RTX 3070 Ti SUPRIM X 8GB GDDR6X;1039.9
ASUS GeForce RTX 2060 Dual OC EVO Edition 6GB GDDR6;506.02
Asus Dual GeForce RTX 3060 OC Edition V2 12GB GDDR6;321.99
ASUS TUF Gaming Radeon RX 7700 XT OC Edition 12GB GDDR6;623.98
Zotac Gaming GeForce RTX 4080 AMP EXTREME AIRO 16GB GDDR6X DLSS3;1653.11
PNY GeForce RTX 3060 VERTO Dual Fan LHR 12GB GDDR6;506.13
Asus Dual GeForce RTX 2060 EVO 6GB GDDR6;474.27
PowerColor Fighter AMD Radeon RX 6500XT 4GB GDDR6;224.53
MSI GeForce GTX 1650 D6 VENTUS XS OCV1 4GB GDDR6;232.9
Gigabyte Radeon RX 6900 XT GAMING OC 16GB GDDR6;1591.12
Gigabyte AORUS Radeon RX 6900 XT MASTER 16GB GDDR6;1710.72
MSI AMD Radeon RX 6900 XT GAMING X TRIO 16GB GDDR6;1762.2
HP Nvidia Quadro T400 2GB GDDR6;289.03
Gainward GeForce RTX 3060 Ghost 12GB GDDR6;383.29
Asus TUF Gaming GeForce GTX 1650 4 GB GDDR6;243.47
Gigabyte AMD Radeon RX 7800 XT GAMING OC 16GB GDDR6;619.14
Zotac Gaming GeForce RTX 3050 Twin Edge OC LHR 8GB GDDR6;365.0
MSI GeForce RTX 4070 Ti SUPRIM X 12GB GDDR6X DLSS3;1234.91
EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING 6GB GDDR6;386.47
Asus TUF Gaming GeForce GTX 1650 4GB GDDR6;243.47
PowerColor AMD Radeon RX 6800 Fighter 16GB GDDR6;436.9
ASUS ProArt GeForce RTX 4070 Ti OC 12GB GDDR6X DLSS3;1054.74
MSI GeForce RTX 3080 Ti VENTUS 3X 12GB GDDR6X;742.55
Zotac Gaming GeForce RTX 3060 Twin Edge LHR 12GB GDDR6;319.98
Asus GeForce GTX 1650 Dual 4GB GDDR5;226.77
Zotac Gaming GeForce RTX 4070 Trinity 12GB GDDR6X DLSS3;970.85
PowerColor AMD Radeon RX 6800 Red Dragon 16GB GDDR6;570.05
PNY Nvidia Quadro RTX 4000 8GB GDDR6 DLSS3;1078.08
Lenovo NVIDIA T1000 4 GB GDDR6;614.66
PowerColor Red Devil AMD Radeon RX 7900 XTX 24GB GDDR6;1412.54
Gigabyte GeForce RTX 3060 WINDFORCE OC 12GB GDDR6 Rev 2;328.99
PNY Nvidia Quadro RTX A6000 48GB GDDR6;7433.34
Gigabyte Radeon RX 6600 XT GAMING OC PRO 8GB GDDR6;687.03
Inno3D GeForce RTX 3080 iChill X4 LHR 10GB GDDR6X;617.0
Gigabyte GeForce RTX 3090 EAGLE 24GB GDDR6X;1058.95
Inno3D iChill X4 GeForce RTX 3080Ti 12GB GDDR6X;1117.99
Asus Phoenix Radeon RX 550 4GB GDDR5;107.99
